ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
234080,JW생명과학,"market    KOSPI
market      STK
Name: 994, dtype: object",,1732.3002076,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.73,70.6,,,,,0,,2026-09-21 13:47:51
194480,데브시스터즈,"market    KOSDAQ
market       KSQ
Name: 995, dtype: object",,1731.670045,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.49,24.4,,,,,0,,2026-09-21 13:47:52
054210,이랜텍,"market    KOSDAQ
market       KSQ
Name: 997, dtype: object",,1727.389643,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.84,47.07,,,,,0,,2026-09-21 13:47:55
032940,원익,"market    KOSDAQ
market       KSQ
Name: 998, dtype: object",,1719.2556045,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.13,53.71,,,,,0,,2026-09-21 13:47:57
092130,이크레더블,"market    KOSDAQ
market       KSQ
Name: 999, dtype: object",,1718.62172,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.56,77.12,,,,,0,,2026-09-21 13:47:58
475040,스트라드비젼,"market    KOSDAQ
market       KSQ
Name: 1000, dtype: object",,1717.0277718,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.27,28.97,,,,,0,,2026-09-21 13:47:58
199820,제일일렉트릭,"market    KOSDAQ
market       KSQ
Name: 1002, dtype: object",,1715.384,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.93,34.89,,,,,0,,2026-09-21 13:48:01
405100,큐알티,"market    KOSDAQ
market       KSQ
Name: 1003, dtype: object",,1714.3574895,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,58.14,,,,,0,,2026-09-21 13:48:02
025560,미래산업,"market    KOSPI
market      STK
Name: 1004, dtype: object",,1713.9444326,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.68,45.9,,,,,0,,2026-09-21 13:48:04
176750,듀켐바이오,"market    KOSDAQ
market       KSQ
Name: 1005, dtype: object",,1712.172072,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.57,46.52,,,,,0,,2026-09-21 13:48:05
